p diff est_diff error1 size est_size error2
9973 20055 20054.15 -0.004258% 99979944 99979944.85 0.000001%
9967 20062 20062.19 0.000968% 99959882 99959882.66 0.000001%
9949 20094 20094.46 0.002281% 99939788 99939788.20 0.000000%
9941 20106 20106.59 0.002917% 99919682 99919681.62 -0.000000%
9931 20122 20122.78 0.003894% 99899560 99899558.83 -0.000001%
9929 20122 20122.78 0.003894% 99879438 99879436.05 -0.000002%
9923 20130 20130.90 0.004447% 99859308 99859305.15 -0.000003%
9907 20158 20159.34 0.006662% 99839150 99839145.81 -0.000004%
9901 20166 20167.49 0.007375% 99818984 99818978.32 -0.000006%
9887 20192 20191.96 -0.000174% 99798792 99798786.36 -0.000006%
9883 20196 20196.05 0.000253% 99778596 99778590.31 -0.000006%
9871 20216 20216.51 0.002528% 99758380 99758373.80 -0.000006%
9859 20238 20237.02 -0.004859% 99738142 99738136.78 -0.000005%
9857 20238 20237.02 -0.004859% 99717904 99717899.76 -0.000004%
9851 20244 20245.23 0.006095% 99697660 99697654.53 -0.000005%
9839 20266 20265.81 -0.000935% 99677394 99677388.72 -0.000005%
9833 20272 20274.05 0.010134% 99657122 99657114.66 -0.000007%
9829 20278 20278.18 0.000887% 99636844 99636836.48 -0.000008%
9817 20300 20298.84 -0.005734% 99616544 99616537.65 -0.000006%
9811 20306 20307.11 0.005476% 99596238 99596230.54 -0.000007%
9803 20320 20319.54 -0.002259% 99575918 99575910.99 -0.000007%
9791 20342 20340.29 -0.008385% 99555576 99555570.70 -0.000005%
9787 20344 20344.45 0.002217% 99535232 99535226.25 -0.000006%
9781 20354 20352.77 -0.006038% 99514878 99514873.48 -0.000005%
9769 20374 20373.60 -0.001939% 99494504 99494499.87 -0.000004%
9767 20376 20373.60 -0.011754% 99474128 99474126.27 -0.000002%
9749 20406 20407.04 0.005106% 99453722 99453719.23 -0.000003%
9743 20416 20415.42 -0.002840% 99433306 99433303.81 -0.000002%
9739 20422 20419.61 -0.011690% 99412884 99412884.19 0.000000%
9733 20430 20428.00 -0.009767% 99392454 99392456.19 0.000002%
9721 20450 20449.02 -0.004798% 99372004 99372007.17 0.000003%
9719 20454 20449.02 -0.024353% 99351550 99351558.15 0.000008%
9697 20482 20491.19 0.044892% 99331068 99331066.96 -0.000001%
9689 20500 20503.88 0.018947% 99310568 99310563.07 -0.000005%
9679 20516 20520.83 0.023549% 99290052 99290042.24 -0.000010%
9677 20518 20520.83 0.013799% 99269534 99269521.41 -0.000013%
9661 20552 20550.57 -0.006965% 99248982 99248970.84 -0.000011%
9649 20570 20571.87 0.009075% 99228412 99228398.97 -0.000013%
9643 20586 20580.40 -0.027203% 99207826 99207818.57 -0.000007%
9631 20610 20601.77 -0.039937% 99187216 99187216.81 0.000001%
9629 20608 20601.77 -0.030236% 99166608 99166615.04 0.000007%
9623 20616 20610.33 -0.027491% 99145992 99146004.70 0.000013%
9619 20616 20614.62 -0.006704% 99125376 99125390.09 0.000014%
9613 20630 20623.20 -0.032983% 99104746 99104766.89 0.000021%
9601 20650 20644.68 -0.025782% 99084096 99084122.21 0.000026%
9587 20676 20670.52 -0.026520% 99063420 99063451.70 0.000032%
9551 20754 20744.10 -0.047699% 99042666 99042707.60 0.000042%
9547 20752 20748.45 -0.017125% 99021914 99021959.15 0.000046%
9539 20762 20761.50 -0.002423% 99001152 99001197.65 0.000046%
9533 20778 20770.21 -0.037500% 98980374 98980427.45 0.000054%
9521 20800 20792.02 -0.038349% 98959574 98959635.42 0.000062%
9511 20816 20809.51 -0.031167% 98938758 98938825.91 0.000069%
9497 20848 20835.81 -0.058489% 98917910 98917990.10 0.000081%
9491 20850 20844.59 -0.025959% 98897060 98897145.52 0.000086%
9479 20876 20866.58 -0.045134% 98876184 98876278.94 0.000096%
9473 20878 20875.39 -0.012507% 98855306 98855403.55 0.000099%
9467 20888 20884.21 -0.018149% 98834418 98834519.34 0.000103%
9463 20894 20888.62 -0.025735% 98813524 98813630.72 0.000108%
9461 20896 20888.62 -0.035304% 98792628 98792742.10 0.000115%
9439 20946 20932.88 -0.062622% 98771682 98771809.21 0.000129%
9437 20940 20932.88 -0.033987% 98750742 98750876.33 0.000136%
9433 20944 20937.32 -0.031888% 98729798 98729939.01 0.000143%
9431 20942 20937.32 -0.022341% 98708856 98709001.69 0.000148%
9421 20970 20955.10 -0.071051% 98687886 98688046.59 0.000163%
9419 20958 20955.10 -0.013834% 98666928 98667091.48 0.000166%
9413 20980 20964.01 -0.076237% 98645948 98646127.48 0.000182%
9403 20984 20981.84 -0.010287% 98624964 98625145.64 0.000184%
9397 21000 20990.77 -0.043939% 98603964 98604154.87 0.000194%
9391 21018 20999.71 -0.087004% 98582946 98583155.15 0.000212%
9377 21042 21026.59 -0.073247% 98561904 98562128.56 0.000228%
9371 21050 21035.56 -0.068586% 98540854 98541093.00 0.000243%
9349 21100 21080.56 -0.092117% 98519754 98520012.44 0.000262%
9343 21106 21089.59 -0.077758% 98498648 98498922.85 0.000279%
9341 21100 21089.59 -0.049344% 98477548 98477833.26 0.000290%
9337 21106 21094.11 -0.056354% 98456442 98456739.16 0.000302%
9323 21138 21121.26 -0.079208% 98435304 98435617.90 0.000319%
9319 21130 21125.79 -0.019925% 98414174 98414492.11 0.000323%
9311 21166 21139.40 -0.125658% 98393008 98393352.71 0.000350%
9293 21190 21175.80 -0.067015% 98371818 98372176.91 0.000365%
9283 21200 21194.05 -0.028072% 98350618 98350982.86 0.000371%
9281 21210 21194.05 -0.075207% 98329408 98329788.81 0.000387%
9277 21226 21198.62 -0.129003% 98308182 98308590.19 0.000415%
9257 21254 21239.84 -0.066632% 98286928 98287350.35 0.000430%
9241 21298 21272.02 -0.122002% 98265630 98266078.34 0.000456%
9239 21286 21272.02 -0.065695% 98244344 98244806.32 0.000471%
9227 21316 21295.07 -0.098188% 98223028 98223511.25 0.000492%
9221 21332 21304.31 -0.129815% 98201696 98202206.94 0.000520%
9209 21356 21327.44 -0.133723% 98180340 98180879.50 0.000549%
9203 21362 21336.71 -0.118379% 98158978 98159542.79 0.000575%
9199 21374 21341.35 -0.152752% 98137604 98138201.44 0.000609%
9187 21388 21364.58 -0.109497% 98116216 98116836.86 0.000633%
9181 21404 21373.89 -0.140680% 98094812 98095462.97 0.000664%
9173 21408 21387.87 -0.094033% 98073404 98074075.10 0.000684%
9161 21448 21411.22 -0.171503% 98051956 98052663.88 0.000722%
9157 21440 21415.89 -0.112442% 98030516 98031247.99 0.000747%
9151 21448 21425.25 -0.106054% 98009068 98009822.74 0.000770%
9137 21480 21453.39 -0.123872% 97987588 97988369.34 0.000797%
9133 21486 21458.09 -0.129897% 97966102 97966911.25 0.000826%
9127 21494 21467.49 -0.123316% 97944608 97945443.76 0.000853%
9109 21530 21505.20 -0.115178% 97923078 97923938.56 0.000879%
9103 21528 21514.65 -0.062003% 97901550 97902423.91 0.000893%
9091 21580 21538.32 -0.193152% 97879970 97880885.59 0.000935%
9067 21618 21590.58 -0.126848% 97858352 97859295.01 0.000964%
9059 21622 21604.88 -0.079188% 97836730 97837690.13 0.000981%
9049 21642 21623.98 -0.083272% 97815088 97816066.15 0.001000%
9043 21652 21633.54 -0.085242% 97793436 97794432.61 0.001019%
9041 21666 21633.54 -0.149805% 97771770 97772799.07 0.001053%
9029 21684 21657.50 -0.122194% 97750086 97751141.56 0.001080%
9013 21718 21691.14 -0.123657% 97728368 97729450.42 0.001108%
9011 21732 21691.14 -0.187998% 97706636 97707759.27 0.001150%
9007 21738 21695.96 -0.193391% 97684898 97686063.31 0.001193%
9001 21734 21705.60 -0.130660% 97663164 97664357.71 0.001222%
8999 21744 21705.60 -0.176590% 97641420 97642652.11 0.001262%
8971 21818 21768.51 -0.226831% 97619602 97620883.60 0.001313%
8969 21822 21768.51 -0.245119% 97597780 97599115.09 0.001368%
8963 21818 21778.22 -0.182304% 97575962 97577336.86 0.001409%
8951 21840 21802.56 -0.171449% 97554122 97555534.31 0.001448%
8941 21864 21822.06 -0.191807% 97532258 97533712.24 0.001491%
8933 21888 21836.72 -0.234281% 97510370 97511875.52 0.001544%
8929 21890 21841.61 -0.221052% 97488480 97490033.91 0.001594%
8923 21878 21851.40 -0.121570% 97466602 97468182.51 0.001622%
8893 21972 21920.20 -0.235741% 97444630 97446262.31 0.001675%
8887 21974 21930.07 -0.199922% 97422656 97424332.24 0.001721%
8867 22016 21974.59 -0.188103% 97400640 97402357.65 0.001763%
8863 22020 21979.55 -0.183715% 97378620 97380378.10 0.001805%
8861 22048 21979.55 -0.310478% 97356572 97358398.56 0.001876%
8849 22044 22004.38 -0.179712% 97334528 97336394.17 0.001917%
8839 22080 22024.30 -0.252264% 97312448 97314369.87 0.001975%
8837 22064 22024.30 -0.179931% 97290384 97292345.57 0.002016%
8831 22098 22034.28 -0.288370% 97268286 97270311.30 0.002082%
8821 22090 22054.26 -0.161795% 97246196 97248257.04 0.002119%
8819 22082 22054.26 -0.125625% 97224114 97226202.78 0.002148%
8807 22138 22079.30 -0.265150% 97201976 97204123.48 0.002209%
8803 22136 22084.32 -0.233477% 97179840 97182039.16 0.002263%
8783 22178 22129.58 -0.218336% 97157662 97159909.58 0.002313%
8779 22194 22134.62 -0.267555% 97135468 97137774.96 0.002375%
8761 22232 22175.04 -0.256195% 97113236 97115599.92 0.002434%
8753 22226 22190.24 -0.160878% 97091010 97093409.68 0.002472%
8747 22262 22200.39 -0.276745% 97068748 97071209.29 0.002536%
8741 22268 22210.55 -0.257993% 97046480 97048998.74 0.002595%
8737 22262 22215.63 -0.208273% 97024218 97026783.10 0.002644%
8731 22292 22225.81 -0.296913% 97001926 97004557.29 0.002713%
8719 22302 22251.30 -0.227319% 96979624 96982305.99 0.002766%
8713 22324 22261.52 -0.279884% 96957300 96960044.47 0.002831%
8707 22328 22271.75 -0.251946% 96934972 96937772.72 0.002889%
8699 22362 22287.11 -0.334911% 96912610 96915485.62 0.002967%
8693 22364 22297.36 -0.297968% 96890246 96893188.25 0.003037%
8689 22368 22302.49 -0.292853% 96867878 96870885.76 0.003105%
8681 22408 22317.91 -0.402047% 96845470 96848567.85 0.003199%
8677 22372 22323.05 -0.218784% 96823098 96826244.80 0.003250%
8669 22418 22338.50 -0.354609% 96800680 96803906.29 0.003333%
8663 22394 22348.82 -0.201758% 96778286 96781557.47 0.003380%
